scen.name,model,dag_name,N,betaAY,betaCY,betaAC,betaCR,betaQA,betaQR,betaQY,method,bhat,bhat_lo,bhat_hi,bhat_width,bhat_covers,adj_form_string,unadj_form_string,pR_emp,unique.scen,BhatBias,BhatCover,BhatWidth,BhatRMSE,BhatEstFail,BhatCIFail,BhatEmpSE,pR_Emp_Mean
1,OLS,I(a),10000,1,1,1,1,1,3,1,gold-std,1.00053852204121,0.94332884833076,1.05774819575165,0.114419347420892,0.949,Y ~ A + C + Q,Y ~ A + Q,0.3009568,1 gold-std,0.000538522041205737,0.949,0.114419347420892,0.0293054735053114,0,0,0.0293151863636098,0.3009568
1,OLS,I(a),10000,1,1,1,1,1,3,1,CC-unadj,0.719409299316137,0.616678156798544,0.82214044183373,0.205462285035186,0,Y ~ A + C + Q,Y ~ A + Q,0.3009568,1 CC-unadj,-0.280590700683863,0,0.205462285035186,0.285236056179559,0,0,0.0512942251344096,0.3009568
1,OLS,I(a),10000,1,1,1,1,1,3,1,CC-adj,1.0013202131166,0.922300167838358,1.08034025839485,0.15804009055649,0.939,Y ~ A + C + Q,Y ~ A + Q,0.3009568,1 CC-adj,0.00132021311660289,0.939,0.15804009055649,0.0410487359214893,0,0,0.0410480291704448,0.3009568
1,OLS,I(a),10000,1,1,1,1,1,3,1,MI-adj,1.0087444792634,0.929177753510966,1.08831120501583,0.159133451504867,0.93,Y ~ A + C + Q,Y ~ A + Q,0.3009568,1 MI-adj,0.00874447926340024,0.93,0.159133451504868,0.0408624063715944,0,0,0.0399357634469579,0.3009568
1,OLS,I(a),10000,1,1,1,1,1,3,1,MI-unadj,0.800411890872939,0.699278060670144,0.901545721075735,0.202267660405591,0.03,Y ~ A + C + Q,Y ~ A + Q,0.3009568,1 MI-unadj,-0.199588109127061,0.03,0.202267660405591,0.205771261680841,0,0,0.0500889981587363,0.3009568
10,OLS,II(b)-Q,10000,1,1,1,1,1,3,1,gold-std,0.999926421168495,0.959488976848646,1.04036386548834,0.0808748886396983,0.963,,Y ~ A + Q,0.2315001,10 gold-std,-7.3578831505123e-05,0.963,0.0808748886396983,0.019553562942622,0,0,0.0195632085567698,0.2315001
10,OLS,II(b)-Q,10000,1,1,1,1,1,3,1,CC-unadj,0.608847264174782,0.515455122257628,0.702239406091937,0.186784283834308,0,,Y ~ A + Q,0.2315001,10 CC-unadj,-0.391152735825218,0,0.186784283834308,0.393918689506181,0,0,0.0466223641995794,0.2315001
10,OLS,II(b)-Q,10000,1,1,1,1,1,3,1,MI-unadj,0.985368515507692,0.912373796751106,1.05836323426428,0.145989437513173,0.89,,Y ~ A + Q,0.2315001,10 MI-unadj,-0.0146314844923077,0.89,0.145989437513173,0.0439064944376648,0,0,0.0414175727280913,0.2315001
11,OLS,II(c),10000,1,1,1,1,1,3,1,gold-std,0.999499293319423,0.942293132809485,1.05670545382936,0.114412321019878,0.954,,Y ~ A + Q,0.5000939,11 gold-std,-0.000500706680576547,0.954,0.114412321019878,0.0287225036485578,0,0,0.0287325088658678,0.5000939
11,OLS,II(c),10000,1,1,1,1,1,3,1,CC-unadj,0.999499293319423,0.942293132809485,1.05670545382936,0.114412321019878,0.954,,Y ~ A + Q,0.5000939,11 CC-unadj,-0.000500706680576547,0.954,0.114412321019878,0.0287225036485578,0,0,0.0287325088658678,0.5000939
11,OLS,II(c),10000,1,1,1,1,1,3,1,MI-unadj,0.999499293319423,0.942293130653981,1.05670545598487,0.114412325330885,0.954,,Y ~ A + Q,0.5000939,11 MI-unadj,-0.000500706680576547,0.954,0.114412325330885,0.0287225036485578,0,0,0.0287325088658678,0.5000939
12,OLS,II(c)-Q,10000,1,1,1,1,1,3,1,gold-std,0.999016132731896,0.941798997820817,1.05623326764297,0.114434269822157,0.946,,Y ~ A + Q,0.0830592,12 gold-std,-0.000983867268104332,0.946,0.114434269822157,0.029679443288507,0,0,0.0296779740086097,0.0830592
12,OLS,II(c)-Q,10000,1,1,1,1,1,3,1,CC-unadj,0.830040709782896,0.689745335327387,0.970336084238405,0.280590748911019,0.342,,Y ~ A + Q,0.0830592,12 CC-unadj,-0.169959290217104,0.342,0.280590748911019,0.184548274021942,0,0,0.0719519436538833,0.0830592
12,OLS,II(c)-Q,10000,1,1,1,1,1,3,1,MI-unadj,0.936535366421539,0.826229789908409,1.04684094293467,0.220611153026259,0.799,,Y ~ A + Q,0.0830592,12 MI-unadj,-0.0634646335784613,0.799,0.220611153026259,0.0812950259685226,0,0,0.0508301607041687,0.0830592
2,OLS,I(a)-Q,10000,1,1,1,1,1,3,1,gold-std,0.999756233773781,0.942568823682245,1.05694364386532,0.114374820183072,0.945,Y ~ A + C + Q,Y ~ A + Q,0.2025904,2 gold-std,-0.000243766226218415,0.945,0.114374820183073,0.0305209120478422,0,0,0.0305352099928653,0.2025904
2,OLS,I(a)-Q,10000,1,1,1,1,1,3,1,CC-unadj,0.716427495051712,0.586719484233297,0.846135505870128,0.259416021636832,0.011,Y ~ A + C + Q,Y ~ A + Q,0.2025904,2 CC-unadj,-0.283572504948288,0.011,0.259416021636832,0.291491254620654,0,0,0.0675155115656991,0.2025904
2,OLS,I(a)-Q,10000,1,1,1,1,1,3,1,CC-adj,0.997292308137367,0.897533232096778,1.09705138417796,0.199518152081178,0.943,Y ~ A + C + Q,Y ~ A + Q,0.2025904,2 CC-adj,-0.00270769186263266,0.943,0.199518152081178,0.0524332770470723,0,0,0.0523895181146034,0.2025904
